run_id,timestamp,benchmark,scenario,case_id,document_title,position,question,answer,repeat_index,method,method_family,selected_action,retention_ratio,kv_bits,execution_status,backend_status,reason,operating_regime_target,operating_regime_observed,prompt_tokens,generated_tokens,estimated_full_kv_mb,estimated_kv_cache_mb,memory_budget_mb,memory_saved_percent,budget_violation,swap_delta_mb,pageout_delta,swapout_delta,compressed_memory_delta_mb,memory_pressure,bandwidth_pressure,latency_ms_per_token,latency_p95_ms_per_token,tokens_per_second,score,accuracy,delta_score_vs_full,retrieval_success,exact_match,containment,retained_target_token,decision_time_ms,policy_profile,execution_mode,output_text,notes
checkpoint6-needle-under_saturated-3072-1-sink-Full KV-20260503134516,2026-05-03T11:45:16.154137+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Full KV,baseline,full_16,1.0,16,real,real,static benchmark method,under_saturated,under_saturated,3072,32,96.0,96.0,352.0,0.0,False,0.0,0.0,0.0,0.0,green,0.010909,50.0,52.0,20.0,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Quantized 8-bit-20260503134516,2026-05-03T11:45:16.154367+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Quantized 8-bit,static_q8,full_8,1.0,8,real,real,static benchmark method,under_saturated,under_saturated,3072,32,96.0,50.976,352.0,46.9,False,0.0,0.0,0.0,0.0,green,0.005793,51.0,53.04,19.608,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Retention-only-20260503134516,2026-05-03T11:45:16.154392+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Retention-only,retention,r50_b16,0.5,16,real,real,static benchmark method,under_saturated,under_saturated,3072,32,96.0,48.0,352.0,50.0,False,0.0,0.0,0.0,0.0,green,0.005455,47.5,49.4,21.053,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Hybrid conservative-20260503134516,2026-05-03T11:45:16.154418+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Hybrid conservative,hybrid_theoretical,r75_b8,0.75,8,theoretical_only,infeasible,static benchmark method,under_saturated,under_saturated,3072,32,96.0,38.232,352.0,60.175,False,0.0,0.0,0.0,0.0,green,0.004345,49.75,51.74,20.101,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Hybrid balanced-20260503134516,2026-05-03T11:45:16.154439+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Hybrid balanced,hybrid_theoretical,r50_b8,0.5,8,theoretical_only,infeasible,static benchmark method,under_saturated,under_saturated,3072,32,96.0,25.488,352.0,73.45,False,0.0,0.0,0.0,0.0,green,0.004,48.5,50.44,20.619,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Hybrid aggressive-20260503134516,2026-05-03T11:45:16.154455+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Hybrid aggressive,hybrid_theoretical,r30_b4,0.3,4,theoretical_only,infeasible,static benchmark method,under_saturated,under_saturated,3072,32,96.0,7.646,352.0,92.035,False,0.0,0.0,0.0,0.0,green,0.004,51.5,53.56,19.417,0.9,0.9,0.1,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Ideal dynamic q8-20260503134516,2026-05-03T11:45:16.154482+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Ideal dynamic q8,theoretical_upper_bound,ideal_full_8,1.0,8,theoretical_only,real,theoretical dynamic upper bound,under_saturated,under_saturated,3072,32,96.0,50.976,352.0,46.9,False,0.0,0.0,0.0,0.0,green,0.005793,51.0,53.04,19.608,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-sink-Adaptive Lumina-20260503134516,2026-05-03T11:45:16.154591+00:00,checkpoint6_regime_benchmark,needle,needle-sink,,sink,,,1,Adaptive Lumina,adaptive,full_8,1.0,8,real,real,backend path available,under_saturated,under_saturated,3072,32,96.0,50.976,352.0,46.9,False,0.0,0.0,0.0,0.0,green,0.005793,51.0,53.04,19.608,1.0,1.0,0.0,True,True,True,True,0.0535,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-early-Full KV-20260503134516,2026-05-03T11:45:16.154620+00:00,checkpoint6_regime_benchmark,needle,needle-early,,early,,,1,Full KV,baseline,full_16,1.0,16,real,real,static benchmark method,under_saturated,under_saturated,3072,32,96.0,96.0,352.0,0.0,False,0.0,0.0,0.0,0.0,green,0.010909,50.0,52.0,20.0,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
checkpoint6-needle-under_saturated-3072-1-early-Quantized 8-bit-20260503134516,2026-05-03T11:45:16.154636+00:00,checkpoint6_regime_benchmark,needle,needle-early,,early,,,1,Quantized 8-bit,static_q8,full_8,1.0,8,real,real,static benchmark method,under_saturated,under_saturated,3072,32,96.0,50.976,352.0,46.9,False,0.0,0.0,0.0,0.0,green,0.005793,51.0,53.04,19.608,1.0,1.0,0.0,True,True,True,True,0.0,balanced,proxy,,deterministic checkpoint-6 proxy; theoretical-only actions are not final accuracy claims
